STORE_LOCATION,PRODUCT_CATEGORY,TOTAL_REVENUE,TOTAL_QUANTITY_SOLD,NUMBER_OF_TRANSACTIONS,UNIQUE_PRODUCTS_SOLD,MONTH_ID,DAY_OF_WEEK,TIME_BUCKET
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-08,Sun,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-12,Thu,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-14,Sat,Afternoon
Astoria,Loose Tea,8.95,1,1,1,2023-01-09,Mon,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-01-16,Mon,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-16,Mon,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-01-17,Tue,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-19,Thu,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-01-24,Tue,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-25,Wed,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-01-25,Wed,Afternoon
Astoria,Loose Tea,8.95,1,1,1,2023-01-30,Mon,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-30,Mon,Afternoon
Astoria,Loose Tea,8.95,1,1,1,2023-01-31,Tue,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-01-30,Mon,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-02-08,Wed,Afternoon
Astoria,Loose Tea,8.95,1,1,1,2023-02-09,Thu,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-02-09,Thu,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-02-10,Fri,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-02-10,Fri,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-02-12,Sun,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-02-13,Mon,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-02-14,Tue,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-02-15,Wed,Afternoon
Astoria,Loose Tea,8.95,1,1,1,2023-02-15,Wed,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-02-16,Thu,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-02-18,Sat,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-02-22,Wed,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-02-27,Mon,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-08,Wed,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-03-10,Fri,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-11,Sat,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-03-13,Mon,Afternoon
Astoria,Loose Tea,8.95,1,1,1,2023-03-15,Wed,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-03-16,Thu,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-13,Mon,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-03-18,Sat,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-21,Tue,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-24,Fri,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-03-25,Sat,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-03-31,Fri,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-04-09,Sun,Afternoon
Astoria,Loose Tea,8.95,1,1,1,2023-04-09,Sun,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-04-09,Sun,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-04-10,Mon,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-04-11,Tue,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-04-13,Thu,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-04-15,Sat,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-04-30,Sun,Afternoon
Astoria,Loose Tea,8.95,1,1,1,2023-04-30,Sun,Afternoon
